ppmOrdering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,ppmRepShift,1M-ppmDemShift,totalBallots,locality
 416676, 420155, 564381, 435619, 416676, 548776, 451224,   3479, 984395, 708818,SouthfieldPrecinct36
 416760, 420229, 564316, 435684, 416760, 548683, 451317,   3469, 984367, 710141,SylvanLakePrecinct1
 416798, 420241, 564312, 435688, 416798, 548662, 451338,   3443, 984350, 711315,TroyPrecinct1
 416939, 420326, 564245, 435755, 416939, 548540, 451460,   3387, 984295, 713212,TroyPrecinct2
 417076, 420539, 563997, 436003, 417076, 548372, 451628,   3463, 984375, 707798,SouthfieldPrecinct35
 417202, 420572, 564011, 435989, 417202, 548304, 451696,   3370, 984293, 715001,TroyPrecinct3
 417276, 420587, 564000, 436000, 417276, 548223, 451777,   3311, 984223, 717406,TroyPrecinct4
 417542, 421002, 563523, 436477, 417542, 547899, 452101,   3460, 984376, 706810,SouthfieldPrecinct34
 417563, 420803, 563779, 436221, 417563, 547964, 452036,   3240, 984185, 718703,TroyPrecinct5
 417618, 420843, 563739, 436261, 417618, 547916, 452084,   3225, 984177, 719166,TroyPrecinct6
 417661, 420785, 563826, 436174, 417661, 547919, 452081,   3124, 984093, 722080,TroyPrecinct8
 417712, 420855, 563743, 436257, 417712, 547850, 452150,   3143, 984107, 720618,TroyPrecinct7
 417857, 421296, 563214, 436786, 417857, 547591, 452409,   3439, 984377, 705752,SouthfieldPrecinct33
 417883, 421009, 563608, 436392, 417883, 547701, 452299,   3126, 984093, 724017,TroyPrecinct9
 417966, 421052, 563574, 436426, 417966, 547646, 452354,   3086, 984072, 725798,TroyPrecinct10
 418102, 421135, 563506, 436494, 418102, 547544, 452456,   3033, 984038, 727417,TroyPrecinct11
 418209, 421202, 563441, 436559, 418209, 547448, 452552,   2993, 984007, 728675,TroyPrecinct12
 418275, 421176, 563465, 436535, 418275, 547425, 452575,   2901, 983960, 731038,TroyPrecinct13
 418428, 421276, 563374, 436626, 418428, 547315, 452685,   2848, 983941, 732795,TroyPrecinct14
 418453, 421251, 563400, 436600, 418453, 547303, 452697,   2798, 983903, 734492,TroyPrecinct15
 418489, 421261, 563388, 436612, 418489, 547278, 452722,   2772, 983890, 735920,TroyPrecinct16
 418529, 421210, 563453, 436547, 418529, 547261, 452739,   2681, 983808, 737697,TroyPrecinct17
