ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 290290, 309050, 682119, 317881, 251655, 666666, 333334, 786975, 577265,    453,MadisonHeightsPrecinct6
 304525, 561728, 412208, 587792, 529492, 419067, 580933, 661180, 465705,   1458,BrandonTownshipPrecinct5
 325580, 317829, 672480, 327520, 292635, 682170, 317830, 625970, 451550,    516,PontiacPrecinct10
 347970, 626535, 362100, 637900, 604729, 370700, 629300, 609030, 457000,   3256,WaterfordTownshipPrecinct4
 349490, 419024, 571342, 428658, 398555, 580975, 419025, 602345, 451835,   1661,OakParkPrecinct4
 364395, 424063, 554240, 445760, 401873, 559171, 440829, 610950, 475345,   2028,MadisonHeightsPrecinct3
 380190, 567731, 412140, 587860, 552076, 420447, 579553, 578275, 458465,   3130,WaterfordTownshipPrecinct8
 389860, 567033, 409798, 590202, 551462, 416255, 583745, 577855, 467715,   2633,HollyTownshipPrecinct1
 394120, 419269, 575436, 424564, 401270, 578613, 421387, 589995, 484115,   1889,SouthfieldPrecinct14
 397655, 415376, 571143, 428857, 397403, 573639, 426361, 589865, 487520,   2003,OakParkPrecinct2
 400215, 347896, 626213, 373787, 329018, 627292, 372708, 594390, 494605,   1854,HazelParkPrecinct6
 407540, 413625, 563990, 436010, 396593, 565450, 434550, 585160, 492700,   2055,MadisonHeightsPrecinct1
 413900, 627152, 349219, 650781, 612334, 351621, 648379, 574090, 487990,   2497,OxfordTownshipPrecinct2
 414665, 569338, 413898, 586102, 555623, 417250, 582750, 568575, 483240,   3281,WaterfordTownshipPrecinct6
 419205, 460521, 526257, 473743, 442893, 524788, 475212, 588140, 507345,   2723,MadisonHeightsPrecinct7
 423110, 202477, 791969, 208031, 190516, 795386, 204614, 559805, 482915,   2341,SouthfieldPrecinct17
 424370, 381512, 598739, 401261, 366386, 598739, 401261, 575630, 500000,   2380,HazelParkPrecinct5
 424675, 455975, 525945, 474055, 441580, 526615, 473385, 571975, 496650,   2987,WaterfordTownshipPrecinct14
 425395, 531184, 449716, 550284, 518054, 451507, 548493, 565650, 491045,   3351,WaterfordTownshipPrecinct13
 426470, 664705, 321078, 678922, 651470, 322549, 677451, 566175, 492645,   2040,GrovelandTownshipPrecinct2
 428025, 646418, 340941, 659059, 633778, 342696, 657304, 563200, 491225,   2848,HollyTownshipPrecinct3
 428940, 419413, 557907, 442093, 403689, 556395, 443605, 578620, 507560,   3307,WaterfordTownshipPrecinct15
 430130, 614520, 373329, 626671, 598116, 370899, 629101, 582020, 512150,   3292,WhiteLakeTownshipPrecinct6
 433130, 521545, 460326, 539674, 510846, 463001, 536999, 553495, 486625,   3365,WaterfordTownshipPrecinct12
 435640, 690740, 294243, 705757, 677511, 293886, 706114, 566145, 501785,   2797,HighlandTownshipPrecinct2
 435730, 473302, 506262, 493738, 458141, 503955, 496045, 575805, 511535,   3034,WaterfordTownshipPrecinct11
 437300, 701567, 284012, 715988, 693416, 288401, 711599, 540755, 478055,   1595,GrovelandTownshipPrecinct1
 438790, 348248, 633600, 366400, 334318, 631912, 368088, 569650, 508440,   2369,HazelParkPrecinct1
 439265, 449803, 529832, 470168, 436941, 529117, 470883, 564310, 503575,   2799,MadisonHeightsPrecinct9
 439780, 563928, 420630, 579370, 552501, 421247, 578753, 557135, 496915,   3238,WaterfordTownshipPrecinct3
 441350, 572580, 404325, 595675, 565249, 408724, 591276, 536655, 478005,   2728,IndependenceTownshipPrecinct10
 442685, 460633, 522473, 477527, 447963, 521266, 478734, 563350, 506035,   3315,MadisonHeightsPrecinct8
 448615, 382037, 610813, 389187, 374441, 613494, 386506, 537980, 486595,   2238,OakParkPrecinct3
 450435, 569827, 412931, 587069, 562500, 415517, 584483, 536635, 487070,   2320,IndependenceTownshipPrecinct13
 450840, 665331, 318281, 681719, 655863, 318645, 681355, 547340, 498180,   2746,HighlandTownshipPrecinct6
 450900, 570879, 406917, 593083, 558497, 404355, 595645, 561910, 512810,   2342,HollyTownshipPrecinct2
 451985, 519433, 463648, 536352, 507087, 460905, 539095, 561730, 513715,   2187,RochesterHillsPrecinct15
 454680, 693655, 296676, 703324, 683383, 295468, 704532, 551360, 506040,   1655,AddisonTownshipPrecinct3
 455155, 674514, 311285, 688715, 667040, 312780, 687220, 537370, 492525,   2676,BrandonTownshipPrecinct1
 456670, 582195, 401260, 598740, 572216, 399947, 600053, 549895, 506565,   3808,WaterfordTownshipPrecinct16
 458530, 479703, 504146, 495854, 470100, 502837, 497163, 548015, 506545,   2291,WalledLakePrecinct1
 459530, 681057, 302752, 697248, 668645, 298434, 701566, 562060, 521590,   1853,HighlandTownshipPrecinct7
 459735, 311021, 663814, 336186, 298439, 659285, 340715, 562910, 522645,   1987,PontiacPrecinct8
 460285, 521035, 458958, 541042, 512209, 458075, 541925, 544130, 504415,   3399,WaterfordTownshipPrecinct17
 460850, 426931, 549582, 450418, 414926, 545407, 454593, 560025, 520875,   1916,MadisonHeightsPrecinct4
 463905, 535761, 449146, 550854, 530511, 451115, 548885, 526250, 490155,   3048,TroyPrecinct24
 465055, 619568, 360984, 639016, 611364, 359769, 640231, 541020, 506075,   3291,IndependenceTownshipPrecinct11
 465435, 456797, 527649, 472351, 452764, 530529, 469471, 520165, 485600,   1736,AuburnHillsPrecinct5
 465615, 459518, 521412, 478588, 451078, 519849, 480151, 542200, 507815,   3199,TroyPrecinct25
 466330, 451851, 538047, 461953, 445117, 538047, 461953, 533670, 500000,   1485,WestBloomfieldTownshipPrecinct3
 467985, 634097, 348382, 651618, 625336, 346024, 653976, 543805, 511790,   2968,WhiteLakeTownshipPrecinct11
